tgl_perawatan,total_jumlah_per_hari
2020-01-01,0
2020-01-02,0
2020-01-03,153
2020-01-04,8
2020-01-05,25
2020-01-06,368
2020-01-07,0
2020-01-08,124
2020-01-09,0
2020-01-10,214
2020-01-11,20
2020-01-12,0
2020-01-13,0
2020-01-14,320
2020-01-15,204
2020-01-16,0
2020-01-17,109
2020-01-18,25
2020-01-19,6
2020-01-20,366
2020-01-21,325
2020-01-22,173
2020-01-23,0
2020-01-24,179
2020-01-25,0
2020-01-26,10
2020-01-27,189
2020-01-28,293
2020-01-29,143
2020-01-30,240
2020-01-31,221
2020-02-01,10
2020-02-02,41
2020-02-03,123
2020-02-04,172
2020-02-05,270
2020-02-06,270
2020-02-07,18
2020-02-08,15
2020-02-09,33
2020-02-10,150
2020-02-11,78
2020-02-12,94
2020-02-13,212
2020-02-14,21
2020-02-15,0
2020-02-16,0
2020-02-17,65
2020-02-18,77
2020-02-19,82
2020-02-20,284
2020-02-21,16
2020-02-22,0
2020-02-23,0
2020-02-24,55
2020-02-25,119
2020-02-26,117
2020-02-27,150
2020-02-28,41
2020-02-29,16
2020-03-01,0
2020-03-02,64
2020-03-03,112
2020-03-04,63
2020-03-05,181
2020-03-06,0
2020-03-07,0
2020-03-08,0
2020-03-09,122
2020-03-10,107
2020-03-11,148
2020-03-12,135
2020-03-13,39
2020-03-14,40
2020-03-15,20
2020-03-16,47
2020-03-17,148
2020-03-18,172
2020-03-19,70
2020-03-20,94
2020-03-21,0
2020-03-22,20
2020-03-23,80
2020-03-24,110
2020-03-25,0
2020-03-26,153
2020-03-27,0
2020-03-28,5
2020-03-29,10
2020-03-30,58
2020-03-31,123
2020-04-01,83
2020-04-02,132
2020-04-03,84
2020-04-04,0
2020-04-05,0
2020-04-06,107
2020-04-07,145
2020-04-08,130
2020-04-09,126
2020-04-10,16
2020-04-11,40
2020-04-12,0
2020-04-13,139
2020-04-14,186
2020-04-15,67
2020-04-16,165
2020-04-17,40
2020-04-18,0
2020-04-19,46
2020-04-20,110
2020-04-21,213
2020-04-22,59
2020-04-23,128
2020-04-24,33
2020-04-25,18
2020-04-26,0
2020-04-27,83
2020-04-28,289
2020-04-29,123
2020-04-30,23
2020-05-01,25
2020-05-02,15
2020-05-03,10
2020-05-04,52
2020-05-05,242
2020-05-06,124
2020-05-07,0
2020-05-08,343
