tgl_perawatan,total_jumlah_per_hari
2020-01-01,164
2020-01-02,187
2020-01-03,116
2020-01-04,135
2020-01-05,35
2020-01-06,198
2020-01-07,176
2020-01-08,204
2020-01-09,181
2020-01-10,126
2020-01-11,78
2020-01-12,40
2020-01-13,246
2020-01-14,164
2020-01-15,288
2020-01-16,229
2020-01-17,175
2020-01-18,92
2020-01-19,50
2020-01-20,212
2020-01-21,264
2020-01-22,226
2020-01-23,227
2020-01-24,121
2020-01-25,14
2020-01-26,0
2020-01-27,201
2020-01-28,304
2020-01-29,0
2020-01-30,197
2020-01-31,303
2020-02-01,30
2020-02-02,50
2020-02-03,260
2020-02-04,254
2020-02-05,314
2020-02-06,132
2020-02-07,263
2020-02-08,116
2020-02-09,34
2020-02-10,243
2020-02-11,232
2020-02-12,294
2020-02-13,325
2020-02-14,168
2020-02-15,46
2020-02-16,30
2020-02-17,280
2020-02-18,102
2020-02-19,0
2020-02-20,168
2020-02-21,44
2020-02-22,30
2020-02-23,10
2020-02-24,117
2020-02-25,126
2020-02-26,193
2020-02-27,224
2020-02-28,173
2020-02-29,10
2020-03-01,10
2020-03-02,112
2020-03-03,133
2020-03-04,202
2020-03-05,143
2020-03-06,158
2020-03-07,20
2020-03-08,6
2020-03-09,172
2020-03-10,40
2020-03-11,146
2020-03-12,193
2020-03-13,98
2020-03-14,86
2020-03-15,2
2020-03-16,116
2020-03-17,248
2020-03-18,125
2020-03-19,224
2020-03-20,108
2020-03-21,20
2020-03-22,40
2020-03-23,180
2020-03-24,239
2020-03-25,24
2020-03-26,220
2020-03-27,142
2020-03-28,50
2020-03-29,30
2020-03-30,192
2020-03-31,247
2020-04-01,45
2020-04-02,28
2020-04-03,60
2020-04-04,75
2020-04-05,0
2020-04-06,129
2020-04-07,143
2020-04-08,139
2020-04-09,113
2020-04-10,0
2020-04-11,62
2020-04-12,30
2020-04-13,155
2020-04-14,140
2020-04-15,85
2020-04-16,110
2020-04-17,22
2020-04-18,10
2020-04-19,50
2020-04-20,160
2020-04-21,0
2020-04-22,99
2020-04-23,48
2020-04-24,10
2020-04-25,0
2020-04-26,0
2020-04-27,70
2020-04-28,37
2020-04-29,0
2020-04-30,0
2020-05-01,15
2020-05-02,0
2020-05-03,0
2020-05-04,8
2020-05-05,0
2020-05-06,72
2020-05-07,42
2020-05-08,180
2020-05-09,40
2020-05-10,0
2020-05-11,133
2020-05-12,166
2020-05-13,66
2020-05-14,39
2020-05-15,50
2020-05-16,20
2020-05-17,30
2020-05-18,121
2020-05-19,68
2020-05-20,128
2020-05-21,30
2020-05-22,69
2020-05-23,52
2020-05-24,20
2020-05-25,50
2020-05-26,64
2020-05-27,136
2020-05-28,144
2020-05-29,110
2020-05-30,24
2020-05-31,30
2020-06-01,40
2020-06-02,147
2020-06-03,178
2020-06-04,144
2020-06-05,95
2020-06-06,60
2020-06-07,36
2020-06-08,89
2020-06-09,93
2020-06-10,174
2020-06-11,138
2020-06-12,55
2020-06-13,30
2020-06-14,20
2020-06-15,234
2020-06-16,54
2020-06-17,138
2020-06-18,134
2020-06-19,100
2020-06-20,12
2020-06-21,12
2020-06-22,74
2020-06-23,105
2020-06-24,118
2020-06-25,104
2020-06-26,141
2020-06-27,60
2020-06-28,0
2020-06-29,125
2020-06-30,76
2020-07-01,151
2020-07-02,113
2020-07-03,101
2020-07-04,69
2020-07-05,60
2020-07-06,50
2020-07-07,72
2020-07-08,106
2020-07-09,113
2020-07-10,20
2020-07-11,22
2020-07-12,42
2020-07-13,114
2020-07-14,50
2020-07-15,114
2020-07-16,84
2020-07-17,30
2020-07-18,0
2020-07-19,20
2020-07-20,85
2020-07-21,102
2020-07-22,93
2020-07-23,106
2020-07-24,45
2020-07-25,20
2020-07-26,16
2020-07-27,80
2020-07-28,110
2020-07-29,117
2020-07-30,0
2020-07-31,20
2020-08-01,28
2020-08-02,10
2020-08-03,0
2020-08-04,68
2020-08-05,130
2020-08-06,40
2020-08-07,10
2020-08-08,32
2020-08-09,48
2020-08-10,99
2020-08-11,73
2020-08-12,20
2020-08-13,72
2020-08-14,45
2020-08-15,10
2020-08-16,60
2020-08-17,20
2020-08-18,89
2020-08-19,58
2020-08-20,10
2020-08-21,42
2020-08-22,20
2020-08-23,0
2020-08-24,34
2020-08-25,52
2020-08-26,92
2020-08-27,74
2020-08-28,100
