tgl_perawatan,total_jumlah_per_hari
2020-01-01,34
2020-01-02,55
2020-01-03,147
2020-01-04,10
2020-01-05,2
2020-01-06,161
2020-01-07,3
2020-01-08,18
2020-01-09,14
2020-01-10,0
2020-01-11,16
2020-01-12,30
2020-01-13,10
2020-01-14,10
2020-01-15,14
2020-01-16,2
2020-01-17,14
2020-01-18,1
2020-01-19,0
2020-01-20,0
2020-01-21,125
2020-01-22,0
2020-01-23,129
2020-01-24,163
2020-01-25,24
2020-01-26,0
2020-01-27,183
2020-01-28,207
2020-01-29,209
2020-01-30,117
2020-01-31,108
2020-02-01,12
2020-02-02,40
2020-02-03,163
2020-02-04,97
2020-02-05,60
2020-02-06,177
2020-02-07,84
2020-02-08,30
2020-02-09,29
2020-02-10,153
2020-02-11,200
2020-02-12,117
2020-02-13,196
2020-02-14,87
2020-02-15,10
2020-02-16,16
2020-02-17,115
2020-02-18,143
2020-02-19,74
2020-02-20,109
2020-02-21,40
2020-02-22,11
2020-02-23,28
2020-02-24,159
2020-02-25,79
2020-02-26,118
2020-02-27,77
2020-02-28,30
2020-02-29,8
2020-03-01,16
2020-03-02,91
2020-03-03,124
2020-03-04,138
2020-03-05,137
2020-03-06,42
2020-03-07,17
2020-03-08,6
2020-03-09,82
2020-03-10,72
2020-03-11,188
2020-03-12,163
2020-03-13,48
2020-03-14,19
2020-03-15,10
2020-03-16,142
2020-03-17,163
2020-03-18,97
2020-03-19,131
2020-03-20,41
2020-03-21,15
2020-03-22,26
2020-03-23,114
2020-03-24,97
2020-03-25,0
2020-03-26,146
2020-03-27,28
2020-03-28,13
2020-03-29,9
2020-03-30,29
2020-03-31,97
2020-04-01,26
2020-04-02,45
2020-04-03,73
2020-04-04,10
2020-04-05,7
2020-04-06,68
2020-04-07,96
2020-04-08,62
2020-04-09,137
2020-04-10,15
2020-04-11,46
2020-04-12,9
2020-04-13,48
2020-04-14,21
2020-04-15,56
2020-04-16,99
2020-04-17,71
2020-04-18,12
2020-04-19,27
2020-04-20,102
2020-04-21,47
2020-04-22,36
2020-04-23,30
2020-04-24,45
2020-04-25,32
2020-04-26,3
2020-04-27,48
2020-04-28,72
2020-04-29,85
2020-04-30,50
2020-05-01,2
2020-05-02,0
2020-05-03,4
2020-05-04,42
2020-05-05,137
2020-05-06,151
2020-05-07,0
2020-05-08,27
2020-05-09,0
2020-05-10,5
2020-05-11,67
2020-05-12,24
2020-05-13,76
2020-05-14,59
2020-05-15,16
2020-05-16,10
2020-05-17,14
2020-05-18,38
2020-05-19,87
2020-05-20,112
2020-05-21,14
2020-05-22,14
2020-05-23,19
2020-05-24,0
2020-05-25,10
2020-05-26,38
2020-05-27,88
2020-05-28,88
2020-05-29,15
2020-05-30,9
2020-05-31,18
2020-06-01,8
2020-06-02,42
2020-06-03,150
2020-06-04,105
2020-06-05,93
2020-06-06,4
2020-06-07,38
2020-06-08,78
2020-06-09,12
2020-06-10,82
2020-06-11,79
2020-06-12,46
2020-06-13,10
2020-06-14,14
2020-06-15,105
