tgl_perawatan,total_jumlah_per_hari
2020-01-01,17
2020-01-02,219
2020-01-03,71
2020-01-04,5
2020-01-05,3
2020-01-06,192
2020-01-07,119
2020-01-08,179
2020-01-09,134
2020-01-10,67
2020-01-11,14
2020-01-12,6
2020-01-13,225
2020-01-14,187
2020-01-15,83
2020-01-16,184
2020-01-17,191
2020-01-18,14
2020-01-19,31
2020-01-20,169
2020-01-21,146
2020-01-22,218
2020-01-23,240
2020-01-24,85
2020-01-25,43
2020-01-26,6
2020-01-27,166
2020-01-28,187
2020-01-29,179
2020-01-30,187
2020-01-31,205
2020-02-01,10
2020-02-02,12
2020-02-03,133
2020-02-04,113
2020-02-05,328
2020-02-06,398
2020-02-07,170
2020-02-08,15
2020-02-09,0
2020-02-10,198
2020-02-11,148
2020-02-12,396
2020-02-13,371
2020-02-14,326
2020-02-15,3
2020-02-16,11
2020-02-17,149
2020-02-18,240
2020-02-19,143
2020-02-20,317
2020-02-21,147
2020-02-22,1
2020-02-23,1
2020-02-24,108
2020-02-25,104
2020-02-26,162
2020-02-27,169
2020-02-28,83
2020-02-29,4
2020-03-01,5
2020-03-02,114
2020-03-03,108
2020-03-04,134
2020-03-05,177
2020-03-06,143
2020-03-07,13
2020-03-08,2
2020-03-09,124
2020-03-10,57
2020-03-11,195
2020-03-12,466
2020-03-13,203
2020-03-14,31
2020-03-15,12
2020-03-16,115
2020-03-17,49
2020-03-18,100
2020-03-19,86
2020-03-20,67
2020-03-21,10
2020-03-22,1
2020-03-23,141
2020-03-24,92
2020-03-25,1
2020-03-26,158
2020-03-27,103
2020-03-28,0
2020-03-29,2
2020-03-30,77
2020-03-31,56
2020-04-01,50
2020-04-02,117
2020-04-03,238
2020-04-04,7
2020-04-05,0
2020-04-06,75
2020-04-07,141
2020-04-08,116
2020-04-09,191
2020-04-10,1
2020-04-11,27
2020-04-12,0
2020-04-13,79
2020-04-14,88
2020-04-15,163
2020-04-16,342
2020-04-17,117
2020-04-18,3
2020-04-19,13
2020-04-20,88
2020-04-21,120
2020-04-22,75
2020-04-23,149
2020-04-24,62
2020-04-25,16
2020-04-26,0
2020-04-27,66
2020-04-28,65
2020-04-29,92
2020-04-30,221
2020-05-01,15
2020-05-02,4
2020-05-03,36
