tgl_perawatan,total_jumlah_per_hari
2020-01-01,6
2020-01-02,113
2020-01-03,64
2020-01-04,18
2020-01-05,12
2020-01-06,251
2020-01-07,118
2020-01-08,103
2020-01-09,84
2020-01-10,65
2020-01-11,10
2020-01-12,0
2020-01-13,202
2020-01-14,126
2020-01-15,90
2020-01-16,70
2020-01-17,128
2020-01-18,6
2020-01-19,18
2020-01-20,172
2020-01-21,101
2020-01-22,119
2020-01-23,87
2020-01-24,141
2020-01-25,3
2020-01-26,0
2020-01-27,135
2020-01-28,104
2020-01-29,107
2020-01-30,161
2020-01-31,60
2020-02-01,12
2020-02-02,24
2020-02-03,102
2020-02-04,240
2020-02-05,98
2020-02-06,311
2020-02-07,144
2020-02-08,12
2020-02-09,0
2020-02-10,204
2020-02-11,68
2020-02-12,140
2020-02-13,39
2020-02-14,47
2020-02-15,3
2020-02-16,23
2020-02-17,182
2020-02-18,228
2020-02-19,136
2020-02-20,129
2020-02-21,53
2020-02-22,6
2020-02-23,12
2020-02-24,68
2020-02-25,105
2020-02-26,96
2020-02-27,141
2020-02-28,93
2020-02-29,6
2020-03-01,18
2020-03-02,110
2020-03-03,18
2020-03-04,132
2020-03-05,51
2020-03-06,192
2020-03-07,27
2020-03-08,27
2020-03-09,23
2020-03-10,73
2020-03-11,181
2020-03-12,270
2020-03-13,162
2020-03-14,29
2020-03-15,8
2020-03-16,113
2020-03-17,81
2020-03-18,260
2020-03-19,61
2020-03-20,90
2020-03-21,0
2020-03-22,6
2020-03-23,60
2020-03-24,45
2020-03-25,0
2020-03-26,246
2020-03-27,196
2020-03-28,3
2020-03-29,18
2020-03-30,20
2020-03-31,60
2020-04-01,314
2020-04-02,21
2020-04-03,201
2020-04-04,0
2020-04-05,1
2020-04-06,91
2020-04-07,63
2020-04-08,126
2020-04-09,93
2020-04-10,7
2020-04-11,4
2020-04-12,15
2020-04-13,63
2020-04-14,20
2020-04-15,202
2020-04-16,279
2020-04-17,9
2020-04-18,3
2020-04-19,6
2020-04-20,37
2020-04-21,60
2020-04-22,83
2020-04-23,27
2020-04-24,6
2020-04-25,24
2020-04-26,3
2020-04-27,45
2020-04-28,63
2020-04-29,50
2020-04-30,215
2020-05-01,18
2020-05-02,3
2020-05-03,6
2020-05-04,63
2020-05-05,122
2020-05-06,17
2020-05-07,11
2020-05-08,186
2020-05-09,3
2020-05-10,6
2020-05-11,26
2020-05-12,48
2020-05-13,44
2020-05-14,108
2020-05-15,180
2020-05-16,3
2020-05-17,3
2020-05-18,30
2020-05-19,6
2020-05-20,27
2020-05-21,3
2020-05-22,0
2020-05-23,12
2020-05-24,3
2020-05-25,12
2020-05-26,32
2020-05-27,141
2020-05-28,128
2020-05-29,202
2020-05-30,9
2020-05-31,6
2020-06-01,47
2020-06-02,51
2020-06-03,16
2020-06-04,114
2020-06-05,193
2020-06-06,21
2020-06-07,3
2020-06-08,124
2020-06-09,72
2020-06-10,72
2020-06-11,183
2020-06-12,42
2020-06-13,26
2020-06-14,7
2020-06-15,39
2020-06-16,45
2020-06-17,93
2020-06-18,276
2020-06-19,216
2020-06-20,0
2020-06-21,3
2020-06-22,0
2020-06-23,38
2020-06-24,27
2020-06-25,102
2020-06-26,6
2020-06-27,0
2020-06-28,1
2020-06-29,66
2020-06-30,0
2020-07-01,7
2020-07-02,114
2020-07-03,45
2020-07-04,15
2020-07-05,27
2020-07-06,42
2020-07-07,24
2020-07-08,0
2020-07-09,111
2020-07-10,132
2020-07-11,0
2020-07-12,0
2020-07-13,112
2020-07-14,43
2020-07-15,34
2020-07-16,201
2020-07-17,45
2020-07-18,6
2020-07-19,9
2020-07-20,141
2020-07-21,63
2020-07-22,15
2020-07-23,132
2020-07-24,115
2020-07-25,1
2020-07-26,0
2020-07-27,54
2020-07-28,88
2020-07-29,42
2020-07-30,0
2020-07-31,6
2020-08-01,3
2020-08-02,15
2020-08-03,21
2020-08-04,42
2020-08-05,10
2020-08-06,46
2020-08-07,90
2020-08-08,3
2020-08-09,30
2020-08-10,77
2020-08-11,65
2020-08-12,36
2020-08-13,123
2020-08-14,184
2020-08-15,3
2020-08-16,0
2020-08-17,21
2020-08-18,63
2020-08-19,59
2020-08-20,0
2020-08-21,0
2020-08-22,3
2020-08-23,6
2020-08-24,78
2020-08-25,24
2020-08-26,39
2020-08-27,361
2020-08-28,180
2020-08-29,6
2020-08-30,0
2020-08-31,88
2020-09-01,0
2020-09-02,66
2020-09-03,42
2020-09-04,6
2020-09-05,3
2020-09-06,12
2020-09-07,69
2020-09-08,34
2020-09-09,27
2020-09-10,24
2020-09-11,3
2020-09-12,10
2020-09-13,4
2020-09-14,98
2020-09-15,108
2020-09-16,97
2020-09-17,33
2020-09-18,3
2020-09-19,5
2020-09-20,4
2020-09-21,105
2020-09-22,68
2020-09-23,37
2020-09-24,42
2020-09-25,25
2020-09-26,0
2020-09-27,0
2020-09-28,53
2020-09-29,21
2020-09-30,42
2020-10-01,42
2020-10-02,183
2020-10-03,4
2020-10-04,15
2020-10-05,48
2020-10-06,30
2020-10-07,74
2020-10-08,102
2020-10-09,62
2020-10-10,0
2020-10-11,25
2020-10-12,80
2020-10-13,3
2020-10-14,44
2020-10-15,42
2020-10-16,24
2020-10-17,0
2020-10-18,0
2020-10-19,97
2020-10-20,66
2020-10-21,73
2020-10-22,194
2020-10-23,111
2020-10-24,3
2020-10-25,6
2020-10-26,76
2020-10-27,29
2020-10-28,0
2020-10-29,24
2020-10-30,17
2020-10-31,0
2020-11-01,4
2020-11-02,59
2020-11-03,98
2020-11-04,92
2020-11-05,114
2020-11-06,4
2020-11-07,0
2020-11-08,0
2020-11-09,173
2020-11-10,27
2020-11-11,23
2020-11-12,30
2020-11-13,113
2020-11-14,0
2020-11-15,6
2020-11-16,41
2020-11-17,19
2020-11-18,129
2020-11-19,148
2020-11-20,1
2020-11-21,6
2020-11-22,0
2020-11-23,104
2020-11-24,42
2020-11-25,19
2020-11-26,45
2020-11-27,324
2020-11-28,0
2020-11-29,0
2020-11-30,57
2020-12-01,37
2020-12-02,77
2020-12-03,28
2020-12-04,28
2020-12-05,13
2020-12-06,3
2020-12-07,83
2020-12-08,28
2020-12-09,24
2020-12-10,402
2020-12-11,130
2020-12-12,39
2020-12-13,3
2020-12-14,31
2020-12-15,25
2020-12-16,7
2020-12-17,132
2020-12-18,0
2020-12-19,0
2020-12-20,8
2020-12-21,120
2020-12-22,49
2020-12-23,31
2020-12-24,6
2020-12-25,12
2020-12-26,6
2020-12-27,3
2020-12-28,143
2020-12-29,7
2020-12-30,45
2020-12-31,3
2021-01-01,6
2021-01-02,7
2021-01-03,3
2021-01-04,89
2021-01-05,70
2021-01-06,133
2021-01-07,129
2021-01-08,182
2021-01-09,0
2021-01-10,0
2021-01-11,103
2021-01-12,87
2021-01-13,17
2021-01-14,186
2021-01-15,19
2021-01-16,0
2021-01-17,9
2021-01-18,117
2021-01-19,45
2021-01-20,63
2021-01-21,98
2021-01-22,117
2021-01-23,14
2021-01-24,15
2021-01-25,167
2021-01-26,30
2021-01-27,81
2021-01-28,62
2021-01-29,273
2021-01-30,0
2021-01-31,3
2021-02-01,84
2021-02-02,8
2021-02-03,81
2021-02-04,96
2021-02-05,30
2021-02-06,12
2021-02-07,3
2021-02-08,53
2021-02-09,108
2021-02-10,78
2021-02-11,224
2021-02-12,7
2021-02-13,31
2021-02-14,10
2021-02-15,31
2021-02-16,396
2021-02-17,171
2021-02-18,191
2021-02-19,6
2021-02-20,2
2021-02-21,4
2021-02-22,82
2021-02-23,444
2021-02-24,163
2021-02-25,290
2021-02-26,201
2021-02-27,27
2021-02-28,5
2021-03-01,55
2021-03-02,459
2021-03-03,0
2021-03-04,0
2021-03-05,117
2021-03-06,9
2021-03-07,3
2021-03-08,46
2021-03-09,0
2021-03-10,150
2021-03-11,4
2021-03-12,75
2021-03-13,20
2021-03-14,13
2021-03-15,33
2021-03-16,0
2021-03-17,202
2021-03-18,195
2021-03-19,45
2021-03-20,2
2021-03-21,41
2021-03-22,45
2021-03-23,447
2021-03-24,243
2021-03-25,387
2021-03-26,152
2021-03-27,30
2021-03-28,5
2021-03-29,44
2021-03-30,0
2021-03-31,179
2021-04-01,69
2021-04-02,13
2021-04-03,17
2021-04-04,0
2021-04-05,211
2021-04-06,0
2021-04-07,427
2021-04-08,445
2021-04-09,137
2021-04-10,22
2021-04-11,19
2021-04-12,11
2021-04-13,362
2021-04-14,126
2021-04-15,85
2021-04-16,0
2021-04-17,7
2021-04-18,1
2021-04-19,2
2021-04-20,507
2021-04-21,0
2021-04-22,0
2021-04-23,1
2021-04-24,4
2021-04-25,13
2021-04-26,17
2021-04-27,0
2021-04-28,299
2021-04-29,504
2021-04-30,12
2021-05-01,34
2021-05-02,18
2021-05-03,65
2021-05-04,367
2021-05-05,423
2021-05-06,0
2021-05-07,38
2021-05-08,29
2021-05-09,20
2021-05-10,61
2021-05-11,0
2021-05-12,29
2021-05-13,15
2021-05-14,7
2021-05-15,18
2021-05-16,21
2021-05-17,5
2021-05-18,0
2021-05-19,115
2021-05-20,0
2021-05-21,15
2021-05-22,4
2021-05-23,5
2021-05-24,12
2021-05-25,0
2021-05-26,14
2021-05-27,0
2021-05-28,17
2021-05-29,63
2021-05-30,11
2021-05-31,54
2021-06-01,18
2021-06-02,421
2021-06-03,0
2021-06-04,28
2021-06-05,25
2021-06-06,7
2021-06-07,57
2021-06-08,503
2021-06-09,0
2021-06-10,467
2021-06-11,35
2021-06-12,20
2021-06-13,9
2021-06-14,42
2021-06-15,0
2021-06-16,440
2021-06-17,0
2021-06-18,31
2021-06-19,29
2021-06-20,9
2021-06-21,63
2021-06-22,0
2021-06-23,311
2021-06-24,329
2021-06-25,20
2021-06-26,19
2021-06-27,2
2021-06-28,17
2021-06-29,0
2021-06-30,412
2021-07-01,254
2021-07-02,37
2021-07-03,33
2021-07-04,12
2021-07-05,43
2021-07-06,483
2021-07-07,0
2021-07-08,0
2021-07-09,24
2021-07-10,29
2021-07-11,9
2021-07-12,17
2021-07-13,0
2021-07-14,514
2021-07-15,0
2021-07-16,68
2021-07-17,0
2021-07-18,6
2021-07-19,10
2021-07-20,1
2021-07-21,353
2021-07-22,0
2021-07-23,30
2021-07-24,21
2021-07-25,43
2021-07-26,28
2021-07-27,0
2021-07-28,237
2021-07-29,0
2021-07-30,12
2021-07-31,6
2021-08-01,31
2021-08-02,24
2021-08-03,0
2021-08-04,191
2021-08-05,515
2021-08-06,12
2021-08-07,3
2021-08-08,26
2021-08-09,19
2021-08-10,472
2021-08-11,12
2021-08-12,0
2021-08-13,24
2021-08-14,3
2021-08-15,18
2021-08-16,32
2021-08-17,6
2021-08-18,0
2021-08-19,0
2021-08-20,38
2021-08-21,6
2021-08-22,7
2021-08-23,13
2021-08-24,0
2021-08-25,163
2021-08-26,435
2021-08-27,23
2021-08-28,5
2021-08-29,5
2021-08-30,31
2021-08-31,0
2021-09-01,0
2021-09-02,433
2021-09-03,0
2021-09-04,6
2021-09-05,33
2021-09-06,26
2021-09-07,0
2021-09-08,270
2021-09-09,431
2021-09-10,12
2021-09-11,3
2021-09-12,1
2021-09-13,17
